image,similarity_score
iphone_IMG_906161_output.png,0.9418
iphone_IMG_906161_output.png,0.9227
iphone_IMG_906161_output.png,0.9223
iphone_IMG_906161_output.png,0.857
iphone_IMG_906161_output.png,0.923
iphone_IMG_906161_output.png,0.932
iphone_IMG_906161_output.png,0.9148
iphone_IMG_906161_output.png,0.9334
iphone_IMG_906161_output.png,0.9194
iphone_IMG_906161_output.png,0.9379
iphone_IMG_906161_output.png,0.9676
iphone_IMG_906161_output.png,0.9201
iphone_IMG_906161_output.png,0.9188
iphone_IMG_906161_output.png,0.8909
iphone_IMG_906161_output.png,0.8972
iphone_IMG_906161_output.png,0.9159
iphone_IMG_906161_output.png,0.8995
iphone_IMG_906161_output.png,0.9636
iphone_IMG_906161_output.png,0.8723
iphone_IMG_906161_output.png,0.7849
iphone_IMG_906161_output.png,0.8504
iphone_IMG_906161_output.png,0.8584
iphone_IMG_906161_output.png,0.851
iphone_IMG_906161_output.png,0.8596
iphone_IMG_906161_output.png,0.9499
iphone_IMG_906161_output.png,0.8674
iphone_IMG_906161_output.png,0.9092
iphone_IMG_906161_output.png,0.8566
iphone_IMG_906161_output.png,0.846
iphone_IMG_906161_output.png,0.8183
iphone_IMG_906161_output.png,0.9428
iphone_IMG_906161_output.png,0.841
iphone_IMG_906161_output.png,0.8462
iphone_IMG_906161_output.png,0.8972
iphone_IMG_906161_output.png,0.9269
iphone_IMG_906161_output.png,0.9227
iphone_IMG_906161_output.png,0.9214
iphone_IMG_906161_output.png,0.9457
iphone_IMG_906161_output.png,0.934
iphone_IMG_906161_output.png,0.8677
iphone_IMG_906161_output.png,0.9415
iphone_IMG_906161_output.png,0.9136
iphone_IMG_906161_output.png,0.8563
iphone_IMG_906161_output.png,0.859
iphone_IMG_906161_output.png,0.9531
iphone_IMG_906161_output.png,0.8532
iphone_IMG_906161_output.png,0.8386
iphone_IMG_906161_output.png,0.8543
iphone_IMG_906161_output.png,0.9095
iphone_IMG_906161_output.png,0.9368
iphone_IMG_906161_output.png,0.8934
iphone_IMG_906161_output.png,0.9595
iphone_IMG_906161_output.png,0.9196
iphone_IMG_906161_output.png,0.8191
iphone_IMG_906161_output.png,0.9298
iphone_IMG_906161_output.png,0.8633
iphone_IMG_906161_output.png,0.7908
iphone_IMG_906161_output.png,0.7934
iphone_IMG_906161_output.png,0.9766
iphone_IMG_906161_output.png,0.8009
iphone_IMG_906161_output.png,0.776
iphone_IMG_906161_output.png,0.8212
iphone_IMG_906161_output.png,0.846
iphone_IMG_906161_output.png,0.9465
iphone_IMG_906161_output.png,0.9631
iphone_IMG_906161_output.png,0.9441
iphone_IMG_906161_output.png,0.8885
iphone_IMG_906161_output.png,0.9697
iphone_IMG_906161_output.png,0.9263
iphone_IMG_906161_output.png,0.856
iphone_IMG_906161_output.png,0.846
iphone_IMG_906161_output.png,0.9419
iphone_IMG_906161_output.png,0.8737
iphone_IMG_906161_output.png,0.8593
iphone_IMG_906161_output.png,0.8687
iphone_IMG_906161_output.png,0.9153
iphone_IMG_906161_output.png,0.9264
iphone_IMG_906161_output.png,0.9606
iphone_IMG_906161_output.png,0.8948
iphone_IMG_906161_output.png,0.9285
iphone_IMG_906161_output.png,0.9317
iphone_IMG_906161_output.png,0.9064
iphone_IMG_906161_output.png,0.9115
iphone_IMG_906161_output.png,0.9118
iphone_IMG_906161_output.png,0.8776
iphone_IMG_906161_output.png,0.9222
iphone_IMG_906161_output.png,0.8928
iphone_IMG_906161_output.png,0.9279
iphone_IMG_906161_output.png,0.9432
iphone_IMG_906161_output.png,0.8805
iphone_IMG_906161_output.png,0.9453
iphone_IMG_906161_output.png,0.922
iphone_IMG_906161_output.png,0.8331
iphone_IMG_906161_output.png,0.8265
iphone_IMG_906161_output.png,0.9683
iphone_IMG_906161_output.png,0.8646
iphone_IMG_906161_output.png,0.8358
